Plant Species,Gene ID,Developmental Stage,Stress Treatment,Soil Moisture (%),Temperature (°C),Promoter Methylation (%),Gene Body Methylation (%),TE Methylation (%),Global DNA Methylation (%),CG Methylation (%),CHG Methylation (%),CHH Methylation (%),Methylation Pattern Type,Histone Modification,siRNA Expression (FPKM),SNP Variants,Gene Expression (FPKM),Drought Resistance (1-10),Root Depth (cm),Leaf Area Index,Photosynthetic Rate (μmol CO₂/m²/s),Water Use Efficiency,Chlorophyll Content,Yield (g/plant)
Maize,ZmGLK1,Vegetative,Salt,13.849365104592906,26.34038532778797,49.51539412740699,58.42050068264538,64.87641440543553,57.60410307182931,46.75356848039533,43.32984354824018,12.756230043164079,Dynamic,H3K27me3,39.01414477840075,18,45.17293769751808,6.603651051952778,66.85863272585703,5.518196483374934,39.2894408893805,2.3468833477877125,42.073743518754505,55.92224479281695
Arabidopsis,AtMYB44,Vegetative,Heat,73.3608185851368,19.816676887992294,33.734186623157406,67.8084844223138,76.53467634915711,59.35911579820944,52.57697643177176,40.030315277966025,17.46822663103582,Dynamic,H3K4me3,22.077469096814735,48,59.2915576511341,4.646606460785988,30.10377476904734,1.598475319128564,33.82526157420607,3.4798726937487623,36.19114602938031,33.485964314513794
Wheat,TaWRKY19,Mature,None,49.98283372980168,18.056910327517144,12.3670732275016,76.77162170740183,82.94323237508401,57.36064243666249,55.122471592253454,36.8007682010868,9.382992145016127,Dynamic,H3K4me3,14.314656386671672,46,78.7949110779969,5.485172530536358,16.618551762904346,3.483317801857282,10.684244423192858,2.4116661836655453,34.83537411075103,45.5978235219414
Rice,OsNAC10,Mature,Salt,39.39395694969817,38.39099444169527,64.3244240260953,57.71670243818061,81.45023029635851,67.8304522535448,62.55697600247433,55.01891866448719,15.950603627138339,Dynamic,H3K9me2,21.82197199687011,5,41.56315221620847,3.295299621062119,46.24815997634519,3.950759708321225,39.58408124608964,2.9419547580040235,40.15792974618367,36.84670921131582
Rice,OsHKT1,Flowering,Drought,49.65230354503873,34.5032769430826,67.95122985893275,50.96578628139053,92.845940131319,70.58765209054742,78.42897664827566,43.93607650962999,8.884399561485298,High,H3K4me3,38.11603888801504,31,33.64691238087493,2.6698808909688077,49.991951492438446,3.117677186077083,35.016483598229264,2.838059380665008,41.04715516174426,30.583496525525774
Rice,OsHKT1,Vegetative,Heat,42.97099724258523,22.020600586002022,39.065204818126475,57.72012905983331,73.34360127618316,56.70964505138098,61.45384626636325,30.20914124012269,16.41928315713852,Dynamic,H3K4me3,28.18533499349023,39,68.36971833281137,4.940252647054641,34.62365810078183,2.5482870518422063,25.9368743244739,2.9695591226767957,43.90367939359235,44.86515311489283
Rice,OsHKT1,Mature,Drought,41.341867176953286,33.67289769261666,41.22572689084097,46.29620212885142,60.64215927088185,49.38802943019141,58.199455249550724,29.383904795290285,18.268628477377497,Dynamic,H3K9me2,9.342403275661537,40,64.74252069939706,5.005953087250444,83.18891464184274,4.4746768135811745,34.05960965958377,3.3471003069717016,34.872511488316235,52.85833511989706
Arabidopsis,AtMYB44,Flowering,Drought,38.543670394612306,29.980523600929473,41.86003295018312,62.199361117600695,79.40951553774181,61.15630320184187,58.40558526446974,35.81316849757732,10.246245153787186,Dynamic,H3K9me2,12.84509504165007,9,54.046235468335965,3.8465399926208286,20.125375788933848,1.500234905313644,32.73705872893903,2.0508488202214563,42.22868484120411,39.552370324063794
Arabidopsis,AtWRKY53,Vegetative,None,64.94105951097731,23.843697636748743,17.915146641064577,49.717627516310365,59.50823090558918,42.38033502098804,38.4658915275725,32.05458965183099,7.926461678911057,Dynamic,H3K9me2,48.51237623592768,5,90.41723582065346,7.601145653633296,49.87323503826207,2.289498420964591,46.233601564521905,2.782743339978184,30.27472929052496,51.20204073377887
Rice,OsDREB2A,Mature,Drought,69.52607119285582,35.97823171919726,32.29479760553603,75.80735183677965,81.05108673569202,63.05107872600257,57.2860336432748,40.221450626406245,18.262675222466424,Dynamic,H3K4me3,33.06093702396357,15,80.54244831221565,4.174179776418424,80.8301470230929,3.7567471513181507,35.50317076104747,2.6651153595271477,27.362017035485728,32.0909847847355
Wheat,TaDREB3,Seedling,Heat,27.217642346990186,33.705604084048076,56.31751873987678,42.75842109437611,78.53940112787615,59.20511365404301,49.68374237788198,38.18508646143355,6.6999756629178,Dynamic,H3K27me3,21.44829408287862,16,41.381367645623,5.228117788042953,31.77898347563312,1.3717017532455014,35.79307998621048,2.9298474548116884,38.29988528789869,41.483534663903704
Arabidopsis,AtMYB44,Vegetative,Drought,70.18838270623813,29.53933701069357,40.937373066076866,77.90881377903119,82.84939486397064,67.2318605696929,78.85345277457901,42.50895444685273,18.88372348487782,Dynamic,H3K27me3,18.345955855588848,12,68.24047531836385,2.9372614944521307,20.910607666711325,1.2747943158206778,21.388027322895358,1.865271151089263,31.413050755094893,36.61013369522897
Rice,OsHKT1,Mature,Drought,67.59533067725542,19.16600305559809,60.89177474314978,74.93597415583618,77.62257121942784,71.15010670613793,62.93178156677116,62.40778808664293,24.12644742893409,High,None,22.825568440844297,38,34.94439886452457,2.791193303104004,32.420529183868226,3.3518935245496198,20.049016578598675,1.5680925698101795,29.977796659708854,36.95863746649449
Maize,ZmGLK1,Seedling,Salt,57.260897968383794,16.132206144580962,36.806199019720374,61.43695950576328,90.26975787265323,62.837638799378965,64.14124600559016,52.89523539253368,8.603977455077423,Dynamic,H3K27me3,29.31265041351214,37,60.260805156753854,4.6586852824754805,41.9361648217213,4.921858438690107,34.629141791980594,1.5470747981287147,41.780964674186315,40.271612799026805
